PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
1819,Other diagnostic procedures on external ear,Ext ear diagnos proc NEC,1819,18190,
1821,Excision of preauricular sinus,Preauricular sinus excis,1821,18210,
1829,Excision or destruction of other lesion of external ear,Destruct ext ear les NEC,1829,18290,
1831,Radical excision of lesion of external ear,Rad excis ext ear les,1831,18310,
1839,Other excision of external ear,Excis external ear NEC,1839,18390,
184,Suture of laceration of external ear,Suture ext ear lac,184,1840,
185,Surgical correction of prominent ear,Correction prominent ear,185,1850,
186,Reconstruction of external auditory canal,Ext audit canal reconstr,186,1860,
1871,Construction of auricle of ear,Construction ear auricle,1871,18710,
1872,Reattachment of amputated ear,Reattach amputated ear,1872,18720,
1879,Other plastic repair of external ear,Plastic rep ext ear NEC,1879,18790,
189,Other operations on external ear,Other ext ear operations,189,1890,
190,Stapes mobilization,Stapes mobilization,190,1900,
1911,Stapedectomy with incus replacement,Stapedect w replac incus,1911,19110,
1919,Other stapedectomy,Stapedectomy NEC,1919,19190,
1921,Revision of stapedectomy with incus replacement,Rev stapdec w incus repl,1921,19210,
1929,Other revision of stapedectomy,Stapedectomy revis NEC,1929,19290,
193,Other operations on ossicular chain,Ossicular chain op NEC,193,1930,
194,Myringoplasty,Myringoplasty,194,1940,
1952,Type II tympanoplasty,Type 2 tympanoplasty,1952,19520,
1953,Type III tympanoplasty,Type 3 tympanoplasty,1953,19530,
1954,Type IV tympanoplasty,Type 4 tympanoplasty,1954,19540,
1955,Type V tympanoplasty,Type 5 tympanoplasty,1955,19550,
196,Revision of tympanoplasty,Tympanoplasty revision,196,1960,
199,Other repair of middle ear,Middle ear repair NEC,199,1990,
2001,Myringotomy with insertion of tube,Myringotomy w intubation,2001,20010,
2009,Other myringotomy,Myringotomy NEC,2009,20090,
201,Removal of tympanostomy tube,Tympanostomy tube remove,201,2010,
2020,Incision of mastoid,Mastoid incision,2020,20200,
2021,Incision of mastoid,Mastoid incision,2021,20210,
2022,Incision of petrous pyramid air cells,Petrus pyram air cel inc,2022,20220,
2023,Incision of middle ear,Middle ear incision,2023,20230,
2031,Electrocochleography,Electrocochleography,2031,20310,
2032,Biopsy of middle and inner ear,Mid & inner ear biopsy,2032,20320,
2039,Other diagnostic procedures on middle and inner ear,Mid/in ear dx proc NEC,2039,20390,
2041,Simple mastoidectomy,Simple mastoidectomy,2041,20410,
2042,Radical mastoidectomy,Radical mastoidectomy,2042,20420,
2049,Other mastoidectomy,Mastoidectomy NEC,2049,20490,
2051,Excision of lesion of middle ear,Excise middle ear lesion,2051,20510,
2059,Other excision of middle ear,Middle ear excision NEC,2059,20590,
2061,Fenestration of inner ear (initial),Inner ear fenestration,2061,20610,
2062,Revision of fenestration of inner ear,Revis inner ear fenestra,2062,20620,
2071,Endolymphatic shunt,Endolymphatic shunt,2071,20710,
2072,Injection into inner ear,Inner ear injection,2072,20720,
2079,"Other incision, excision, and destruction of inner ear",Inc/exc/destr in ear NEC,2079,20790,
208,Operations on eustachian tube,Eustachian tube ops,208,2080,
2091,Tympanosympathectomy,Tympanosympathectomy,2091,20910,
2092,Revision of mastoidectomy,Mastoidectomy revision,2092,20920,
2093,Repair of oval and round windows,Repair oval/round window,2093,20930,
2094,Injection of tympanum,Tympanic injection,2094,20940,
2095,Implantation of electromagnetic hearing device,Elecmag hear dev implant,2095,20950,
2096,"Implantation or replacement of cochlear prosthetic device, not otherwise specified",Implt cochlear prost NOS,2096,20960,
2097,"Implantation or replacement of cochlear prosthetic device, single channel",Imp/rep schan coch pros,2097,20970,
2098,"Implantation or replacement of cochlear prosthetic device, multiple channel",Imp/rep mchan cochl pros,2098,20980,
2099,Other operations on middle and inner ear,Mid-inner ear ops NEC,2099,20990,
2100,"Control of epistaxis, not otherwise specified",Control of epistaxis NOS,2100,21000,
2101,Control of epistaxis by anterior nasal packing,Ant nasal pack for epist,2101,21010,
2102,Control of epistaxis by posterior (and anterior) packing,Post nasal pac for epist,2102,21020,
2103,Control of epistaxis by cauterization (and packing),Cautery to stop epistax,2103,21030,
2104,Control of epistaxis by ligation of ethmoidal arteries,Ethmoid art ligat-epist,2104,21040,
2105,Control of epistaxis by (transantral) ligation of the maxillary artery,Max art lig for epistax,2105,21050,
2106,Control of epistaxis by ligation of the external carotid artery,Ext carot art lig-epist,2106,21060,
2107,Control of epistaxis by excision of nasal mucosa and skin grafting of septum and lateral nasal wall,Nasal sept grft-epistax,2107,21070,
2109,Control of epistaxis by other means,Epistaxis control NEC,2109,21090,
211,Incision of nose,Incision of nose,211,2110,
2121,Rhinoscopy,Rhinoscopy,2121,21210,
2122,Biopsy of nose,Nasal biopsy,2122,21220,
2129,Other diagnostic procedures on nose,Nasal dx proc NEC,2129,21290,
2130,"Excision or destruction of lesion of nose, not otherwise specified",Nasal lesion excis NOS,2130,21300,
2131,Local excision or destruction of intranasal lesion,Intranas les destruction,2131,21310,
2132,Local excision or destruction of other lesion of nose,Nasal les destruct NEC,2132,21320,
214,Resection of nose,Resection of nose,214,2140,
215,Submucous resection of nasal septum,Submuc nasal sept resect,215,2150,
2161,Turbinectomy by diathermy or cryosurgery,Diather/cryo turbinectom,2161,21610,
2162,Fracture of the turbinates,Turbinate fracture,2162,21620,
2169,Other turbinectomy,Turbinectomy NEC,2169,21690,
2171,Closed reduction of nasal fracture,Clos reduction nasal fx,2171,21710,
2172,Open reduction of nasal fracture,Open reduction nasal fx,2172,21720,
2181,Suture of laceration of nose,Nasal laceration suture,2181,21810,
2182,Closure of nasal fistula,Nasal fistula closure,2182,21820,
2183,Total nasal reconstruction,Tot nasal reconstruction,2183,21830,
2184,Revision rhinoplasty,Revision rhinoplasty,2184,21840,
2185,Augmentation rhinoplasty,Augmentation rhinoplasty,2185,21850,
2186,Limited rhinoplasty,Limited rhinoplasty,2186,21860,
2187,Other rhinoplasty,Rhinoplasty NEC,2187,21870,
2188,Other septoplasty,Septoplasty NEC,2188,21880,
2189,Other repair and plastic operations on nose,Nasal repair NEC,2189,21890,
2191,Lysis of adhesions of nose,Lysis of nasal adhesions,2191,21910,
2199,Other operations on nose,Nasal operation NEC,2199,21990,
2200,"Aspiration and lavage of nasal sinus, not otherwise specified",Sinus aspirat/lavage NOS,2200,22000,
2201,Puncture of nasal sinus for aspiration or lavage,Sinus punct for lavage,2201,22010,
2202,Aspiration or lavage of nasal sinus through natural ostium,Sinus lavage thru ostium,2202,22020,
2211,Closed [endoscopic] [needle] biopsy of nasal sinus,Closed nasal sinus bx,2211,22110,
2212,Open biopsy of nasal sinus,Open biopsy nasal sinus,2212,22120,
2219,Other diagnostic procedures on nasal sinuses,Nasal sinus dx proc NEC,2219,22190,
222,Intranasal antrotomy,Intranasal antrotomy,222,2220,
2231,Radical maxillary antrotomy,Radical maxillary antrot,2231,22310,
2239,Other external maxillary antrotomy,Ext maxillary antrot NEC,2239,22390,
2241,Frontal sinusotomy,Frontal sinusotomy,2241,22410,
2242,Frontal sinusectomy,Frontal sinusectomy,2242,22420,
2250,"Sinusotomy, not otherwise specified",Sinusotomy NOS,2250,22500,
2251,Ethmoidotomy,Ethmoidotomy,2251,22510,
2252,Sphenoidotomy,Sphenoidotomy,2252,22520,
2253,Incision of multiple nasal sinuses,Multiple sinus incision,2253,22530,
2260,"Sinusectomy, not otherwise specified",Sinusectomy NOS,2260,22600,
2261,Excision of lesion of maxillary sinus with Caldwell-Luc approach,C-luc exc max sinus les,2261,22610,
2262,Excision of lesion of maxillary sinus with other approach,Exc max sinus lesion NEC,2262,22620,
2263,Ethmoidectomy,Ethmoidectomy,2263,22630,
2264,Sphenoidectomy,Sphenoidectomy,2264,22640,
2271,Closure of nasal sinus fistula,Nasal sinus fistula clos,2271,22710,
2279,Other repair of nasal sinus,Nasal sinus repair NEC,2279,22790,
229,Other operations on nasal sinuses,Other nasal sinus ops,229,2290,
2301,Extraction of deciduous tooth,Deciduous tooth extract,2301,23010,
2309,Extraction of other tooth,Tooth extraction NEC,2309,23090,
2311,Removal of residual root,Residual root removal,2311,23110,
2319,Other surgical extraction of tooth,Surg tooth extract NEC,2319,23190,
232,Restoration of tooth by filling,Tooth restor by filling,232,2320,
233,Restoration of tooth by inlay,Tooth restorat by inlay,233,2330,
2341,Application of crown,Crown application,2341,23410,
2342,Insertion of fixed bridge,Fixed bridge insertion,2342,23420,
2343,Insertion of removable bridge,Insert removable bridge,2343,23430,
2349,Other dental restoration,Dental restoration NEC,2349,23490,
235,Implantation of tooth,Tooth implantation,235,2350,
236,Prosthetic dental implant,Prosthet dental implant,236,2360,
2370,"Root canal, not otherwise specified",Root canal NOS,2370,23700,
2371,Root canal therapy with irrigation,Root canal w irrigation,2371,23710,
2372,Root canal therapy with apicoectomy,Root canal w apicoectomy,2372,23720,
2373,Apicoectomy,Apicoectomy,2373,23730,
240,Incision of gum or alveolar bone,Gum or alveolar incision,240,2400,
2411,Biopsy of gum,Gum biopsy,2411,24110,
2412,Biopsy of alveolus,Alveolus biopsy,2412,24120,
2419,"Other diagnostic procedures on teeth, gums, and alveoli",Tooth & gum dx proc NEC,2419,24190,
242,Gingivoplasty,Gingivoplasty,242,2420,
2431,Excision of lesion or tissue of gum,Gum lesion excision,2431,24310,
2432,Suture of laceration of gum,Suture of gum laceration,2432,24320,
2439,Other operations on gum,Gum operation NEC,2439,24390,
244,Excision of dental lesion of jaw,Exc of dental les of jaw,244,2440,
245,Alveoloplasty,Alveoloplasty,245,2450,
246,Exposure of tooth,Exposure of tooth,246,2460,
247,Application of orthodontic appliance,Orthodon applianc applic,247,2470,
248,Other orthodontic operation,Other orthodontic operat,248,2480,
2491,Extension or deepening of buccolabial or lingual sulcus,Exten buccolabial/sulcus,2491,24910,
2499,Other dental operations,Dental operation NEC,2499,24990,
2501,Closed [needle] biopsy of tongue,Closed biopsy of tongue,2501,25010,
2502,Open biopsy of tongue,Open biopsy of tongue,2502,25020,
2509,Other diagnostic procedures on tongue,Tongue dx procedure NEC,2509,25090,
251,Excision or destruction of lesion or tissue of tongue,Destruction tongue les,251,2510,
252,Partial glossectomy,Partial glossectomy,252,2520,
253,Complete glossectomy,Complete glossectomy,253,2530,
254,Radical glossectomy,Radical glossectomy,254,2540,
2551,Suture of laceration of tongue,Suture of tongue lacerat,2551,25510,
2559,Other repair and plastic operations on tongue,Repair of tongue NEC,2559,25590,
2591,Lingual frenotomy,Lingual frenotomy,2591,25910,
2592,Lingual frenectomy,Lingual frenectomy,2592,25920,
2593,Lysis of adhesions of tongue,Lysis of tongue adhesion,2593,25930,
2594,Other glossotomy,Other glossotomy,2594,25940,
2599,Other operations on tongue,Tongue operation NEC,2599,25990,
260,Incision of salivary gland or duct,Incis salivary glnd/duct,260,2600,
2611,Closed [needle] biopsy of salivary gland or duct,Clos bx saliv gland/duct,2611,26110,
2612,Open biopsy of salivary gland or duct,Open bx saliv gland/duct,2612,26120,
2619,Other diagnostic procedures on salivary glands and ducts,Saliv glnd dx proc NEC,2619,26190,
2621,Marsupialization of salivary gland cyst,Salivary cyst marsupial,2621,26210,
2629,Other excision of salivary gland lesion,Saliv lesion excis NEC,2629,26290,
2630,"Sialoadenectomy, not otherwise specified",Sialoadenectomy NOS,2630,26300,
2631,Partial sialoadenectomy,Partial sialoadenectomy,2631,26310,
2632,Complete sialoadenectomy,Complete sialoadenectomy,2632,26320,
2641,Suture of laceration of salivary gland,Suture of saliv glnd lac,2641,26410,
2642,Closure of salivary fistula,Salivary fistula closure,2642,26420,
2649,Other repair and plastic operations on salivary gland or duct,Salivary repair NEC,2649,26490,
2691,Probing of salivary duct,Salivary duct probing,2691,26910,
2699,Other operations on salivary gland or duct,Salivary operation NEC,2699,26990,
270,Drainage of face and floor of mouth,Drain face & mouth floor,270,2700,
271,Incision of palate,Incision of palate,271,2710,
2721,Biopsy of bony palate,Bony palate biopsy,2721,27210,
2722,Biopsy of uvula and soft palate,Uvula and soft palate bx,2722,27220,
2723,Biopsy of lip,Lip biopsy,2723,27230,
2724,"Biopsy of mouth, unspecified structure",Mouth biopsy NOS,2724,27240,
2729,Other diagnostic procedures on oral cavity,Oral cavity dx proc NEC,2729,27290,
2731,Local excision or destruction of lesion or tissue of bony palate,Loc exc bony palate les,2731,27310,
2732,Wide excision or destruction of lesion or tissue of bony palate,Wide exc bony palate les,2732,27320,
2741,Labial frenectomy,Labial frenumectomy,2741,27410,
2742,Wide excision of lesion of lip,Wide excision of lip les,2742,27420,
2743,Other excision of lesion or tissue of lip,Excision of lip les NEC,2743,27430,
2749,Other excision of mouth,Excision of mouth NEC,2749,27490,
2751,Suture of laceration of lip,Suture of lip laceration,2751,27510,
27510,Suture of laceration of other part of mouth,Suture of mouth lac NEC,27510,275100,
2752,Suture of laceration of other part of mouth,Suture of mouth lac NEC,2752,27520,
2753,Closure of fistula of mouth,Closure of mouth fistula,2753,27530,
2754,Repair of cleft lip,Repair of cleft lip,2754,27540,
2755,Full-thickness skin graft to lip and mouth,Full-thick grft to mouth,2755,27550,
2756,Other skin graft to lip and mouth,Skin graft to mouth NEC,2756,27560,
2757,Attachment of pedicle or flap graft to lip and mouth,Pedicle attach to mouth,2757,27570,
2759,Other plastic repair of mouth,Mouth repair NEC,2759,27590,
2761,Suture of laceration of palate,Suture of palate lacerat,2761,27610,
2762,Correction of cleft palate,Cleft palate correction,2762,27620,
2763,Revision of cleft palate repair,Revis cleft palat repair,2763,27630,
2764,Insertion of palatal implant,Insert palatal implant,2764,27640,
2769,Other plastic repair of palate,Oth plastic repair palat,2769,27690,
2771,Incision of uvula,Incision of uvula,2771,27710,
2772,Excision of uvula,Excision of uvula,2772,27720,
2773,Repair of uvula,Repair of uvula,2773,27730,
2779,Other operations on uvula,Other uvula operations,2779,27790,
2791,Labial frenotomy,Labial frenotomy,2791,27910,
2792,"Incision of mouth, unspecified structure",Mouth incision NOS,2792,27920,
2799,Other operations on oral cavity,Oral cavity ops NEC,2799,27990,
280,Incision and drainage of tonsil and peritonsillar structures,Peritonsillar i & d,280,2800,
2811,Biopsy of tonsils and adenoids,Tonsil&adenoid biopsy,2811,28110,
2819,Other diagnostic procedures on tonsils and adenoids,Tonsil&adenoid dx op NEC,2819,28190,
282,Tonsillectomy without adenoidectomy,Tonsillectomy,282,2820,
283,Tonsillectomy with adenoidectomy,Tonsillectomy/adenoidec,283,2830,
284,Excision of tonsil tag,Excision of tonsil tag,284,2840,
285,Excision of lingual tonsil,Excision lingual tonsil,285,2850,
286,Adenoidectomy without tonsillectomy,Adenoidectomy,286,2860,
287,Control of hemorrhage after tonsillectomy and adenoidectomy,Hemorr contrl post T & A,287,2870,
2891,Removal of foreign body from tonsil and adenoid by incision,Incis to remov tonsil FB,2891,28910,
2892,Excision of lesion of tonsil and adenoid,Excis tonsil/adenoid les,2892,28920,
2899,Other operations on tonsils and adenoids,Tonsil/adenoid ops NEC,2899,28990,
290,Pharyngotomy,Pharyngotomy,290,2900,
2911,Pharyngoscopy,Pharyngoscopy,2911,29110,
2912,Pharyngeal biopsy,Pharyngeal biopsy,2912,29120,
2919,Other diagnostic procedures on pharynx,Pharyngeal dx proc NEC,2919,29190,
292,Excision of branchial cleft cyst or vestige,Exc branchial cleft cyst,292,2920,
2931,Cricopharyngeal myotomy,Cricopharyngeal myotomy,2931,29310,
2932,Pharyngeal diverticulectomy,Pharyngeal diverticulec,2932,29320,
2933,Pharyngectomy (partial),Pharyngectomy,2933,29330,
2939,Other excision or destruction of lesion or tissue of pharynx,Excis/destr les phar NEC,2939,29390,
294,Plastic operation on pharynx,Plastic op on pharynx,294,2940,
2951,Suture of laceration of pharynx,Suture of pharyngeal lac,2951,29510,
2952,Closure of branchial cleft fistula,Clos branch cleft fistul,2952,29520,
2953,Closure of other fistula of pharynx,Clos pharynx fistula NEC,2953,29530,
2954,Lysis of pharyngeal adhesions,Lysis pharyngeal adhes,2954,29540,
2959,Other repair of pharynx,Pharyngeal repair NEC,2959,29590,
2991,Dilation of pharynx,Pharyngeal dilation,2991,29910,
2992,Division of glossopharyngeal nerve,Divis glossopharyng nerv,2992,29920,
2999,Other operations on pharynx,Pharyngeal operation NEC,2999,29990,
3001,Marsupialization of laryngeal cyst,Larynx cyst marsupializ,3001,30010,
3009,Other excision or destruction of lesion or tissue of larynx,Destruct larynx les NEC,3009,30090,
301,Hemilaryngectomy,Hemilaryngectomy,301,3010,
3021,Epiglottidectomy,Epiglottidectomy,3021,30210,
3022,Vocal cordectomy,Vocal cordectomy,3022,30220,
3029,Other partial laryngectomy,Other part laryngectomy,3029,30290,
303,Complete laryngectomy,Complete laryngectomy,303,3030,
304,Radical laryngectomy,Radical laryngectomy,304,3040,
310,Injection of larynx,Injection of larynx,310,3100,
311,Temporary tracheostomy,Temporary tracheostomy,311,3110,
3121,Mediastinal tracheostomy,Mediastinal tracheostomy,3121,31210,
3129,Other permanent tracheostomy,Other perm tracheostomy,3129,31290,
313,Other incision of larynx or trachea,Incis larynx trachea NEC,313,3130,
3141,Tracheoscopy through artificial stoma,Tracheoscopy thru stoma,3141,31410,
3142,Laryngoscopy and other tracheoscopy,Larygnoscopy/tracheoscop,3142,31420,
3143,Closed [endoscopic] biopsy of larynx,Closed biopsy larynx,3143,31430,
3144,Closed [endoscopic] biopsy of trachea,Closed biopsy trachea,3144,31440,
3145,Open biopsy of larynx or trachea,Opn bx larynx or trachea,3145,31450,
3148,Other diagnostic procedures on larynx,Oth larynx dx procedure,3148,31480,
3149,Other diagnostic procedures on trachea,Oth trachea dx procedure,3149,31490,
315,Local excision or destruction of lesion or tissue of trachea,Local destruc trach les,315,3150,
3161,Suture of laceration of larynx,Suture of laryngeal lac,3161,31610,
3162,Closure of fistula of larynx,Laryngeal fistula clos,3162,31620,
3163,Revision of laryngostomy,Laryngostomy revision,3163,31630,
3164,Repair of laryngeal fracture,Laryngeal fx repair,3164,31640,
3169,Other repair of larynx,Other laryngeal repair,3169,31690,
3171,Suture of laceration of trachea,Suture of tracheal lacer,3171,31710,
3172,Closure of external fistula of trachea,Closure of tracheostomy,3172,31720,
3173,Closure of other fistula of trachea,Trachea fistula clos NEC,3173,31730,
3174,Revision of tracheostomy,Revision of tracheostomy,3174,31740,
3175,Reconstruction of trachea and construction of artificial larynx,Tracheal reconstruction,3175,31750,
3179,Other repair and plastic operations on trachea,Other tracheal repair,3179,31790,
3191,Division of laryngeal nerve,Laryngeal nerv division,3191,31910,
3192,Lysis of adhesions of trachea or larynx,Lysis trach/larynx adhes,3192,31920,
3193,Replacement of laryngeal or tracheal stent,Replace trac/laryn stent,3193,31930,
3194,Injection of locally-acting therapeutic substance into trachea,Tracheal injection,3194,31940,
3195,Tracheoesophageal fistulization,Tracheoesoph fistulizat,3195,31950,
3198,Other operations on larynx,Oth laryngeal operation,3198,31980,
3199,Other operations on trachea,Other tracheal operation,3199,31990,
3201,Endoscopic excision or destruction of lesion or tissue of bronchus,Endosc destruc bronc les,3201,32010,
3209,Other local excision or destruction of lesion or tissue of bronchus,Other destruc bronc les,3209,32090,
321,Other excision of bronchus,Other bronchial excision,321,3210,
3220,Thoracoscopic excision of lesion or tissue of lung,Thorac exc lung lesion,3220,32200,
3221,Plication of emphysematous bleb,Emphysema bleb plication,3221,32210,
3222,Lung volume reduction surgery,Lung vol reduction surg,3222,32220,
3223,Open ablation of lung lesion or tissue,Open abltn lung les/tiss,3223,32230,
3224,Percutaneous ablation of lung lesion or tissue,Perc abltn lung les/tiss,3224,32240,
3225,Thoracoscopic ablation of lung lesion or tissue,Thor abltn lung les/tiss,3225,32250,
3226,Other and unspecified ablation of lung lesion or tissue,Abltn lung tiss NEC/NOS,3226,32260,
3227,"Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle","Brnc thrmplsty,ablt mscl",3227,32270,
3228,Endoscopic excision or destruction of lesion or tissue of lung,Endosc destruc lung les,3228,32280,
3229,Other local excision or destruction of lesion or tissue of lung,Destroy loc lung les NEC,3229,32290,
3230,Thoracoscopic segmental resection of lung,Thorac seg lung resect,3230,32300,
3239,Other and unspecified segmental resection of lung,Oth seg lung resect NOS,3239,32390,
3241,Thoracoscopic lobectomy of lung,Thorac lobectomy lung,3241,32410,
3249,Other lobectomy of lung,Lobectomy of lung NEC,3249,32490,
3250,Thoracoscopic pneumonectomy,Thoracospc pneumonectomy,3250,32500,
3259,Other and unspecified pneumonectomy,Other pneumonectomy NOS,3259,32590,
326,Radical dissection of thoracic structures,Rad dissec thorac struct,326,3260,
329,Other excision of lung,Other excision of lung,329,3290,
330,Incision of bronchus,Incision of bronchus,330,3300,
331,Incision of lung,Incision of lung,331,3310,
3320,Thoracoscopic lung biopsy,Thoracoscopc lung biopsy,3320,33200,
3321,Bronchoscopy through artificial stoma,Bronchoscopy thru stoma,3321,33210,
3322,Fiber-optic bronchoscopy,Fiber-optic bronchoscopy,3322,33220,
3323,Other bronchoscopy,Other bronchoscopy,3323,33230,
3324,Closed [endoscopic] biopsy of bronchus,Closed bronchial biopsy,3324,33240,
3325,Open biopsy of bronchus,Open bronchial biopsy,3325,33250,
3326,Closed [percutaneous] [needle] biopsy of lung,Closed lung biopsy,3326,33260,
3327,Closed endoscopic biopsy of lung,Clos endoscopic lung bx,3327,33270,
3328,Open biopsy of lung,Open lung biopsy,3328,33280,
3329,Other diagnostic procedures on lung or bronchus,Bronch/lung dx proc NEC,3329,33290,
3331,Destruction of phrenic nerve for collapse of lung,Destr phren-lung collaps,3331,33310,
3332,Artificial pneumothorax for collapse of lung,Pnemothorax-lung collaps,3332,33320,
3333,Pneumoperitoneum for collapse of lung,Pneumoperit-lung collaps,3333,33330,
3334,Thoracoplasty,Thoracoplasty,3334,33340,
3339,Other surgical collapse of lung,Surg collaps of lung NEC,3339,33390,
3341,Suture of laceration of bronchus,Bronchial lacerat suture,3341,33410,
3342,Closure of bronchial fistula,Bronchial fistula clos,3342,33420,
3343,Closure of laceration of lung,Lung laceration closure,3343,33430,
3348,Other repair and plastic operations on bronchus,Bronchial repair NEC,3348,33480,
3349,Other repair and plastic operations on lung,Lung repair NEC,3349,33490,
3350,"Lung transplantation, not otherwise specified",Lung transplant NOS,3350,33500,
3351,Unilateral lung transplantation,Unilat lung transplant,3351,33510,
3352,Bilateral lung transplantation,Bilat lung transplant,3352,33520,
336,Combined heart-lung transplantation,Comb heart/lung transpla,336,3360,
3371,"Endoscopic insertion or replacement of bronchial valve(s), single lobe","Endo ins/re bron val,one",3371,33710,
3372,Endoscopic pulmonary airway flow measurement,Endo pulm arwy flow msmt,3372,33720,
3373,"Endoscopic insertion or replacement of bronchial valve(s), multiple lobes","Endo ins/re brnc val,mul",3373,33730,
3378,Endoscopic removal of bronchial device(s) or substances,Endo rem bronch devc/sub,3378,33780,
3379,Endoscopic insertion of other bronchial device or substances,Endo insrt bronc def/sub,3379,33790,
3391,Bronchial dilation,Bronchial dilation,3391,33910,
3392,Ligation of bronchus,Bronchial ligation,3392,33920,
3393,Puncture of lung,Puncture of lung,3393,33930,
3398,Other operations on bronchus,Bronchial operation NEC,3398,33980,
3399,Other operations on lung,Lung operation NEC,3399,33990,
3401,Incision of chest wall,Incision of chest wall,3401,34010,
3402,Exploratory thoracotomy,Exploratory thoracotomy,3402,34020,
3403,Reopening of recent thoracotomy site,Reopen thoracotomy site,3403,34030,
3404,Insertion of intercostal catheter for drainage,Insert intercostal cath,3404,34040,
3405,Creation of pleuroperitoneal shunt,PlEuroperitoneal shunt,3405,34050,
3406,Thoracoscopic drainage of pleural cavity,Thorac drain pleurl cav,3406,34060,
3409,Other incision of pleura,Other pleural incision,3409,34090,
341,Incision of mediastinum,Incision of mediastinum,341,3410,
3420,Thoracoscopic pleural biopsy,Thoracoscopic pleural bx,3420,34200,
3421,Transpleural thoracoscopy,Transpleura thoracoscopy,3421,34210,
3422,Mediastinoscopy,Mediastinoscopy,3422,34220,
3423,Biopsy of chest wall,Chest wall biopsy,3423,34230,
3424,Other pleural biopsy,Pleural biopsy NEC,3424,34240,
3425,Closed [percutaneous] [needle] biopsy of mediastinum,Clos mediastinal biopsy,3425,34250,
3426,Open mediastinal biopsy,Open mediastinal biopsy,3426,34260,
3427,Biopsy of diaphragm,Biopsy of diaphragm,3427,34270,
3428,"Other diagnostic procedures on chest wall, pleura, and diaphragm",Dx procedure thorax NEC,3428,34280,
3429,Other diagnostic procedures on mediastinum,Dx proc mediastinum NEC,3429,34290,
343,Excision or destruction of lesion or tissue of mediastinum,Destruct mediastin les,343,3430,
344,Excision or destruction of lesion of chest wall,Destruct chest wall les,344,3440,
3451,Decortication of lung,Decortication of lung,3451,34510,
3452,Thoracoscopic decortication of lung,Thoracoscopc decort lung,3452,34520,
3459,Other excision of pleura,Other pleural excision,3459,34590,
346,Scarification of pleura,Scarification of pleura,346,3460,
3471,Suture of laceration of chest wall,Suture chest wall lacer,3471,34710,
3472,Closure of thoracostomy,Thoracostomy closure,3472,34720,
3473,Closure of other fistula of thorax,Clos thoracic fistul NEC,3473,34730,
3474,Repair of pectus deformity,Pectus deformity repair,3474,34740,
3479,Other repair of chest wall,Other chest wall repair,3479,34790,
3481,Excision of lesion or tissue of diaphragm,Excise diaphragm lesion,3481,34810,
3482,Suture of laceration of diaphragm,Suture diaphragm lacerat,3482,34820,
3483,Closure of fistula of diaphragm,Close diaphragm fistula,3483,34830,
3484,Other repair of diaphragm,Other diaphragm repair,3484,34840,
3485,Implantation of diaphragmatic pacemaker,Implant diaphra pacemake,3485,34850,
3489,Other operations on diaphragm,Diaphragm operation NEC,3489,34890,
3491,Thoracentesis,Thoracentesis,3491,34910,
3492,Injection into thoracic cavity,Inject into thorax cavit,3492,34920,
3493,Repair of pleura,Repair of pleura,3493,34930,
3499,Other operations on thorax,Thoracic operation NEC,3499,34990,
3500,"Closed heart valvotomy, unspecified valve",Closed valvotomy NOS,3500,35000,
3501,"Closed heart valvotomy, aortic valve",Closed aortic valvotomy,3501,35010,
3502,"Closed heart valvotomy, mitral valve",Closed mitral valvotomy,3502,35020,
3503,"Closed heart valvotomy, pulmonary valve",Closed pulmon valvotomy,3503,35030,
3504,"Closed heart valvotomy, tricuspid valve",Closed tricusp valvotomy,3504,35040,
3505,Endovascular replacement of aortic valve,Endovas repl aortc valve,3505,35050,
3506,Transapical replacement of aortic valve,Trnsapcl rep aortc valve,3506,35060,
3507,Endovascular replacement of pulmonary valve,Endovas repl pulm valve,3507,35070,
3508,Transapical replacement of pulmonary valve,Trnsapcl repl pulm valve,3508,35080,
3509,Endovascular replacement of unspecified heart valve,Endovas repl uns hrt vlv,3509,35090,
3510,"Open heart valvuloplasty without replacement, unspecified valve",Open valvuloplasty NOS,3510,35100,
3511,Open heart valvuloplasty of aortic valve without replacement,Opn aortic valvuloplasty,3511,35110,
3512,Open heart valvuloplasty of mitral valve without replacement,Opn mitral valvuloplasty,3512,35120,
3513,Open heart valvuloplasty of pulmonary valve without replacement,Opn pulmon valvuloplasty,3513,35130,
3514,Open heart valvuloplasty of tricuspid valve without replacement,Opn tricus valvuloplasty,3514,35140,
3520,Open and other replacement of unspecified heart valve,Opn/oth rep hrt vlv NOS,3520,35200,
3521,Open and other replacement of aortic valve with tissue graft,Opn/oth rep aort vlv-tis,3521,35210,
3522,Open and other replacement of aortic valve,Opn/oth rep aortic valve,3522,35220,
3523,Open and other replacement of mitral valve with tissue graft,Opn/oth rep mtrl vlv-tis,3523,35230,
3524,Open and other replacement of mitral valve,Opn/oth rep mitral valve,3524,35240,
3525,Open and other replacement of pulmonary valve with tissue graft,Opn/oth rep pulm vlv-tis,3525,35250,
3526,Open and other replacement of pulmonary valve,Opn/oth repl pul valve,3526,35260,
3527,Open and other replacement of tricuspid valve with tissue graft,Opn/oth rep tcspd vlv-ts,3527,35270,
